ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1500,St Clair Library System - Capac Branch,Public Library,2023,,,111 North Main,Capac,MI,48014,-82.92848027,43.01312394,4,CN DST Workshops,,,,,
1501,St Clair Library System - Port Huron Branch,Public Library,2023,,,210 McMorran Blvd.,Port Huron,MI,48060,-82.42147823,42.97868022,3,CN DST Workshops,,,,,
1502,St Clair Library System - St Clair Branch,Public Library,2023,,,310 S. Second St.,St. Clair,MI,48079,-82.48703871,42.82310921,6,CN DST Workshops,,,,,
1503,St Ignace Public Library,Public Library,2023,,,110 W Spruce St.,St Ignace,MI,49781,-84.71696342,45.86073552,33,CN DST Workshops,,,,,
1504,Stephens County,Government ,2024,,,101 S 11th Street,Duncan,OK,73533,-97.96157743,34.5005427,,Community Planning,https://connectednation.org/community-engagements/Stephens-County-oklahoma,,,,
1505,Sterling High School,School,2024,,,308 E Washington Ave.,Sterling,KS,67579,-98.20323918,38.21478398,24,Teens Teach Teach,,,,,
1506,Stonewall County,Government ,2025,,,100 E Main St,Aspermont,TX,79502,-100.2309373,33.1500389,,Community Planning,https://connectednation.org/community-engagements/Stonewall-County-texas,,,,
1507,Strawberry Plains Senior Center,Senior Center,"2024, 2025",,,3311 Oak Avenue,Strawberry Plains,TN,37871,-83.68431596,36.06712501,28,CN DST Workshops,,,,,
1508,Stroudsburg FBLA,School Club,2024,,,1110 W Main St.,Stroudsburg,PA,18360,-75.2056092,40.98515462,22,Teens Teach Teach,,,,,
1509,Summit County Community & Senior Center,Senior Center,2025,,,0083 Nancy's Place,Frisco,CO,80443,-106.0842412,39.57252397,37,CN DST Workshops,,,,,
1510,Summit County Seniors,Government,2025,,,202 Park Rd.,Coalville,UT,84017,-111.3919715,40.91732515,,CN DST Workshops,,,,,
1511,Sunshine House,Senior Center,"2023, 2024",,,402 E Holland Ave.,Alpine,TX,79830,-103.6580306,30.35865278,55,CN DST Workshops,,,,,
1512,T&B,School Club,2023,,,,Waynesboro,MS,39367,-88.6596141,31.6760561,1818,Teens Teach Teach,,,,,
1513,Taylor County Senior Center,Senior Center,2025,,,110 S Jackson St,Campbellsville,KY,42718,-85.33903575,37.34249826,60,CN DST Workshops,,,,,
1514,Tazewell Senior Center,Senior Center,2025,,,108 Jaycee Lane,Tazewell,TN,37879,-83.57573169,36.44673076,,CN DST Workshops,,,,,
1515,The Active Life - Hogansville,Senior Center,2025,,,407 Church St.,Hogansville,GA,30230,-84.90501686,33.17715272,18,CN DST Workshops,,,,,
1516,The Active Life - Troup County Senior Center,Senior Center,2025,,,140 Raglan St.,LaGrange,GA,30241,-85.00531731,33.03672998,130,CN DST Workshops,,,,,
1517,The Active Life - West Point,Senior Center,2025,,,1114 O G Skinner Dr.,West Point,GA,31833,-85.16763765,32.88175517,,CN DST Workshops,,,,,
1518,The Center at Belvedere,Non-Profit,2025,11/07/2025,"Computer Basics Windows 10, Internet Basics, Mobile Device Basics (iOS)",540 Belvedere Blvd,Charlottesville,VA,22901,-78.46335378,38.06698731,50,CN DST Workshops,,,,,
1519,The Columbus Rising Project,,2023,,,1241 Mt. Vernon Avenue,Columbus,OH,43203,-82.96900091,39.97288088,10,CN DST Workshops,,,,,
1520,The Commitment House,,2024,,,866 S Broadway,Lexington,KY,40504,-84.51404802,38.03958431,22,CN DST Workshops,,,,,
1521,The Duvall Commitment House,,2024,,,1092 Duvall Street,Lexington,KY,40515,-84.49684307,37.96498055,12,CN DST Workshops,,,,,
1522,The Empress And Pearls Inc,Business,2024,,,4418 Alysheba Dr.,Atlanta,GA,30213,-84.63044893,33.63435331,534,Teens Teach Teach,https://connectednation.org/blog/city-of-stem-la-maker-faire-hosts-over-30000-attendees-features-panel-from-teens-teach-tech-trainers-across-the-us,https://connectednation.org/blog/changing-the-world-teens-train-270-learners-in-digital-skills,,,
1523,The Enrichment Center,Non-Profit,2025,,,1615 South 3rd St.,Sanford,NC,27330,-79.15898494,35.46796646,,CN DST Workshops,,,,,
1524,The Generation Center,Non-Profit,2024,,,32 Meadow Street,Winchester,KY,40391,-84.18730358,38.0016158,10,CN DST Workshops,,,,,
1525,The Mansion at Waterford Assisted Living,,2024,,,6110 N Pennsylvania Ave.,Oklahoma City,OK,73112,-97.54753061,35.53368779,4,CN DST Workshops,,,,,
1526,The Shepherd's House of Nicholasville,,2025,,,105 Main Street,Nicholasville,KY,40356,-84.573205,37.88010862,12,CN DST Workshops,,,,,
1527,The Walker Sober Living House,,"2024, 2025",,,625 Tec Dr. ,Winchester,KY,40391,-84.163697,37.9877975,200,CN DST Workshops,,,,,
1528,Thrive 55+ Ashland City,Government,2025,,,104 Ruth Drive ,Ashland City,TN,37015,-87.06429243,36.27607794,,CN DST Workshops,,,,,
1529,Throckmorton County,Government ,2021,,,100 N Minter Ave,Throckmorton,TX,76483,-99.17729166,33.17865541,,Community Planning,https://connectednation.org/community-engagements/Throckmorton-County-texas,,,,
1530,Thunderbolt Senior Center,Senior Center,2025,,,3236 Russell Street ,Savannah,GA,31404,-81.05163863,32.03129173,40,CN DST Workshops,,,,,
1531,Tillman County,Government ,2025,,,300 N Broadway,Frederick,OK,73542,-98.98002281,34.51132494,,Community Planning,https://connectednation.org/community-engagements/Tillman-County-oklahoma,,,,
1532,TN Vocational Rehabilitation Services,Rehabilitation Center,2024,,,"523 Madison Street Suite B, ",Clarksville,TN,37040,-87.35289184,36.52631488,77,CN DST Workshops,,,,,
1533,Tonawanda High School,School,2025,,,600 Fletcher St.,Tonawanda,NY,14150,-78.895474,43.00997247,68,Teens Teach Teach,https://connectednation.org/blog/these-teens-upgraded-their-digital-knowledge-while-teaching-technology-skills-to-others,,,,
1534,Tri-Cities High School DECA,School,2024,,,2575 Harris Street,East Point,GA,30344,-84.43554496,33.68480335,635,Teens Teach Teach,https://connectednation.org/blog/atlanta-students-tutor-their-teachers-in-digital-skills-thanks-to-teens-teach-tech-powered-by-att,,,,
1535,Trimble Senior Center,Senior Center,2025,,,104 Morris Weathers,StClarksville,TN,37040,-87.28871355,36.59281285,36,CN DST Workshops,,,,,
1536,Troup-Harris Regional Library,Public Library,2025,,,3240 US HWY 421 ,Bedford ,KY,40006,-85.32213565,38.63524908,56,CN DST Workshops,,,,,
1537,Tyler County,Government ,2021,,,100 W Bluff Street,Woodville,TX,75979,-94.41550022,30.77534367,,Community Planning,https://connectednation.org/community-engagements/tyler-county-texas,,,,
1538,Underwood Senior Center,Senior Center,2025,,,"639 9th Ave, Huntington",Huntington,WV,25701,-82.44632829,38.41283865,52,CN DST Workshops,,,,,
1539,Union County Senior Center ,Senior Center,2025,,,298 Main Street,Maynardville,TN,37807,-83.81154102,36.24310852,,CN DST Workshops,,,,,
1540,United Way of Denton County,Government,2024,,,1145 N. Josey Lane,Carrollton,TX,75006,-96.89027725,32.95535658,15,CN DST Workshops,,,,,
1541,United Way of Denton County @ Christian Community Action,Non-Profit,2024,,,200 S Mill St,Lewisville,TX,75057,-96.99414965,33.04430001,10,CN DST Workshops,,,,,
1542,United Way of Orange Cty/Lamar State College,School,2023,,,"410 Front St., ",Orange,TX,77630,-93.73290233,30.09121072,32,CN DST Workshops,,,,,
1543,University of Idaho Butte County Extension - 4-H,School,2024,,,159 N Idaho St Suite 103,Arco,ID,83213,-113.302196,43.63624857,10,Teens Teach Teach,,,,,
1544,Urban League of Greater Oklahoma City,Non-Profit,"2023, 2024, 2025",,,3900 N Martin Luther King Ave,Oklahoma City,OK,73111,-97.47660034,35.51029004,221,CN DST Workshops,,,,,
1545,Urban League of Greater Oklahoma City - Mt Olive Senior Living,Non-Profit,2024,,,3856 N Kelley Ave. ,Oklahoma City,OK,73111,-97.49431038,35.51041204,27,CN DST Workshops,,,,,
1546,Urban League West MI,Non-Profit,2022,,,745 Eastern Ave S.E. ,Grand Rapids ,MI,49503,-85.64931997,42.94885125,30,CN DST Workshops,,,,,
1547,Urbana STEMM,Non-Profit,2024,,,9868 Notting Hill Dr,Frederick,MD,21704,-77.32389909,39.34197515,147,Teens Teach Teach,,,,,
1548,USA Center for Rural Public Health Preparedness,Non-Profit,2024,,,2710 Boonville Rd,Byran,TX,77808,-96.32271805,30.67081124,56,CN DST Workshops,,,,,
1549,Virginia Career Works - Charlottesville Center,Workforce Development,2025,,,943 Glenwood Station ln. Suite 103,Charlottesville,VA,22901,-78.46960727,38.07671886,56,CN DST Workshops,,,,,
1550,Virginia Career Works - Piedmont & Culpeper Literacy Council - VA,Workforce Development,2025,,,271 Southgate Shopping Center,Culpeper,VA,22701,-78.00175047,38.46241218,45,CN DST Workshops,https://www.youtube.com/watch?v=ob3t5AR7urk,,,,
1551,Visionary Youth Foundation,Non-Profit,2024,,,,Basking ridge,NJ,07920,-74.5620645,40.6777333,28,Teens Teach Teach,,,,,
1552,Waldron High School FBLA,School Club,2024,,,736 W. Hwy 80,Waldron,AR,72958,-94.11615203,34.90034368,689,Teens Teach Teach,,,,,
1553,Walker County,Government ,2021,,,1100 University Ave,Huntsville,TX,77340,-95.5505436,30.72340173,,Community Planning,https://connectednation.org/community-engagements/Walker-County-texas,,,,
1554,Warren County Public Library (Bob Kirby Branch),Public Library,2023,,,"175 Iron Skillet Ct, ",Bowling Green,KY,42104,-86.41376606,36.92815769,21,CN DST Workshops,,,,,
1555,Warren County Senior Citizen Center,Senior Center,2025,,,"59 Gibson Hwy, ",Warrenton,GA,30828,-82.66070715,33.39893092,22,CN DST Workshops,,,,,
1556,Washington County Community Center,Community Center,2024,,,206 Cross Main Street ,Springfield,KY,40069,-85.22251724,37.6843064,24,CN DST Workshops,,,,,
1557,Washington County Public Library,Public Library,2023,,,"333 W Main St, ",Springfield,KY,40069,-85.2272888,37.68760829,28,CN DST Workshops,,,,,
1558,Wayne County Library,Public Library,2023,,,157 Rolling Hills Blvd,Monticello,KY,42633,-84.84426625,36.85519658,8,CN DST Workshops,,,,,
1559,Wayne County Senior Center,Senior Center,"2023, 2024",,,75 Columbia Ave. ,Monticello,KY,42633,-84.85016711,36.82996127,37,CN DST Workshops,,,,,
1560,Waynesboro Burke County Senior Center,Senior Center,2025,,,"717 W 6th St, ",Waynesboro,GA,30830,-82.02714015,33.0864469,136,CN DST Workshops,,,,,
1561,Wealthy Kids,Club,"2023, 2024",,,,Anaheim,CA,92806,-117.874462,33.835991,620,Teens Teach Teach,https://connectednation.org/blog/city-of-stem-la-maker-faire-hosts-over-30000-attendees-features-panel-from-teens-teach-tech-trainers-across-the-us,,,,
1562,WeCare,Place of Workship,2023,,,,Muskegon,MI,49444,-86.215483,43.182267,5010,Teens Teach Teach,,,,,
1563,West Iron District Library - Iron River,Public Library,2023,,,"116 W Genesee St, ",Iron River,MI,49935,-88.63962512,46.09152431,18,CN DST Workshops,,,,,
1564,West Knox County Senior Services,Non-Profit,2025,12/08/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",239 Jamestowne Blvd #101 ,Knoxville,TN,37934,-84.16352077,35.8830948,,CN DST Workshops,,,,,
1565,West Windsor Plainsboro High School North FBLA,School Club,2024,,,90 Grovers Mill Rd,Plainsboro,NJ,08536,-74.6000067,40.32409763,55,Teens Teach Teach,,,,,
1566,Wharton County,Government ,2021,,,100 S Fulton Street,Wharton,TX,77488,-96.10072812,29.31099489,,Community Planning,https://connectednation.org/community-engagements/wharton-county-texas,,,,
1567,Wheeler County,Government ,2021,,,401 S Alamo Street,Wheeler,TX,79096,-100.2701802,35.4418692,,Community Planning,https://connectednation.org/community-engagements/wheeler-county-texas,,,,
1568,Wheelwright Senior Center,Senior Center,"2023, 2024",,,22 Shop Fork Street ,Wheelwright,KY,41669,-82.71958556,37.33241684,31,CN DST Workshops,,,,,
1569,White Cloud Community Library,Public Library,"2022, 2023",,,"1038 Wilcox Ave., ",White Cloud,MI,49349,-85.77601839,43.55009833,33,CN DST Workshops,,,,,
1570,White Lake Community Library,Public Library,2023,,,"3900 White Lake Dr., ",Whitehall,MI,49461,-86.3434175,43.38555147,31,CN DST Workshops,,,,,
1571,Whitfield County Senior Center,Senior Center,2025,"01/15/2026, 11/04/2025","Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",302 Cappes St. ,Dalton,GA,30720,-84.97817512,34.77437939,,CN DST Workshops,,,,,
1572,Whitley County Community Center,Community Center,2024,,,"285 S 3rd St, ",Williamsburg,KY,40769,-84.15873554,36.74169656,24,CN DST Workshops,,,,,
1573,Whitley County Senior Citizen Center,Senior Center,2023,,,"208 S 2nd St, ",Williamsburg,KY,40769,-84.1581965,36.74233354,10,CN DST Workshops,,,,,
1574,Wichita County,Government ,2022,,,900 7th Street,Wichita Falls,TX,76301,-98.49466957,33.91195779,,Community Planning,https://connectednation.org/community-engagements/wichita-county-texas,,,,
1575,Wilbarger County,Government ,2025,,,1600 Wilbarger St,Vernon,TX,76384,-99.28252128,34.15277414,,Community Planning,https://connectednation.org/community-engagements/Wilbarger-County-texas,,,,
1576,William H. Wetsel Middle School - Future Business Leaders of America,School,2024,,,186 Mountaineer Ln,Madison,VA,22727,-78.26782343,38.36486661,1206,Teens Teach Teach,,,,,
1577,Windor Forest Golden Age Center,Non-Profit,2025,,,"308 Briarcliff Circle, ",Savannah,GA,31419,-81.14430409,31.9738091,122,CN DST Workshops,,,,,
1578,Wise County,Government ,2025,,,200 N Trinity St,Decatur,TX,76234,-97.58645256,33.23505134,,Community Planning,https://connectednation.org/community-engagements/Wise-County-texas,,,,
1579,Wolfe County Senior Citizen Center,Senior Center,2023,,,"16 Court Street, Plummer St, ",Campton,KY,41301,-83.54722566,37.73495724,15,CN DST Workshops,,,,,
1580,Woodford Community Center,Community Center,2024,,,185 Beasley Road ,Versailles,KY,40383,-84.75896337,38.04694471,18,CN DST Workshops,,,,,
1581,Young County,Government ,2023,,,316 S Main Street,Graham,TX,76450,-98.66714337,33.00179465,,Community Planning,https://connectednation.org/community-engagements/young-county-texas,,,,
1582,YourTechQ,School Club,2023,,,8231 SW Muledeer Dr.,Beaverton,OR,97007,-122.8494251,45.4555324,142,Teens Teach Teach,,,,,
1583,A Gathering Place ,,,11/26/2025,"Cybersecurity, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing, Internet Basics",569 Jean Drive,Danville,KY,40422,-84.78257846,37.6253144,,,,,,,
1584,Aurora Housing Authority ,,,"12/18/2025, 12/19/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing",1959 N. Quentin St.,Aurora,CO,80045,-104.8447198,39.74380631,,,,,,,
1585,Bath County Senior Center ,,,12/03/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",19 Water Street,Owingsville,KY,40360,-83.76399651,38.14584899,,,,,,,
1586,Bear Creek Senior Center ,,,12/16/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",56 McDonough St.,Hampton,GA,30228,-84.27473672,33.38269764,,,,,,,
1587,BlackberryMcCarr Senior Center ,,,12/11/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",4956 State Hwy. 1056,Ransom,KY,41558,-82.1951567,37.55753724,,,,,,,
1588,Campbell County Senior Citizen ,,,"11/03/2025, 11/04/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Video Conferencing",102 S 8th St,La Follette,TN,37766,-84.11650039,36.38518593,,,,,,,
1589,Catoosa County Senior Center ,,,11/03/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",144 Carlos's Circle,Ringgold,GA,30736,-85.1512033,34.9145583,,,,,,,
1590,Clay County Senior Center ,,,11/10/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",145 Cordell Hull Dr.,Celina,TN,38551,-85.5071152,36.55619708,,,,,,,
1591,Coffee County Senior Center ,,,12/04/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",410 N. Collins Street,Tullahome,TN,37388,-86.22006212,35.36169905,,,,,,,
1592,Community  Resident Services,,,"01/21/2026, 01/22/2026, 02/08/2026, 02/09/2026","Computer Basics Windows 10, Cybersecurity, Internet Basics",498 Georgetown St.,Lexington,KY,40508,-84.50178764,38.0621836,,,,,,,
1593,Culpeper Literacy ,,,"11/04/2025, 11/05/2025, 11/06/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Video Conferencing",415 South Main Street,Culpeper,VA,22701,-77.99700707,38.47090099,,,,,,,
1594,DW  Bastrop County Cares,,,"01/14/2026, 01/15/2026, 02/12/2026, 02/13/2026, 03/12/2026, 03/13/2026, 12/10/2025, 12/11/2025","Computer Basics Windows 10, Cybersecurity, Internet Basics",806 Water St,Bastrop,TX,78602,-97.320296,30.111807,,,,,,,
1595,Etowah Senior Center ,,,11/18/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",435 Cooper St,Etowah,TN,37331,-84.52653471,35.33926585,,,,,,,
1596,Fifty Forward Martin Center ,,,11/24/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",960 Heritage Way,Brentwood,TN,37027,-86.78854173,35.99912288,,,,,,,
1597,First Baptist Church of Joelton ,,,01/13/2026,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",7140 Whites Creek Pike,Nashville,TN,37218,-86.80472307,36.22057765,,,,,,,
1598,Greenwood Senior Center ,,,"11/25/2025, 11/26/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Open Lab Workshop",4040 Greenwood Dr,Corpus Christi,TX,78416,-97.43105434,27.75964538,,,,,,,
1599,Harlan County Senior Center ,,,11/13/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",US-421,Harlan,KY,40831,-83.27061649,36.80163635,,,,,,,
1600,Heartland Library Cooperative  DeSoto County ,,,12/04/2025,"Cybersecurity, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing",125 N. Hillsborough,Arcadia,FL,34266,-81.85618935,27.21586066,,,,,,,
1601,Heartland Library Cooperative  Glades ,,,12/06/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop",201 Riverside Dr,Moore Haven,FL,33471,-81.08998642,26.83222233,,,,,,,
1602,Heartland Library Cooperative  Hardee County ,,,12/03/2025,"Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop",315 N. 6th Ave.,Wauchula,FL,33873,-81.81253246,27.55054607,,,,,,,
1603,Heartland Library Cooperative  Lake Placid ,,,12/02/2025,"Computer Basics Windows 10, Email Basics, Open Lab Workshop, Video Conferencing",205 W Interlake Blvd,Lake Placid,FL,33852,-81.36925073,27.29658199,,,,,,,
1604,Heartland Library Cooperative  Okeechobee County ,,,12/05/2025,"Computer Basics Windows 10, Cybersecurity, Internet Basics, Open Lab Workshop",206 W. 16th St.,Okeechobee,FL,34974,-80.83179028,27.22852638,,,,,,,
1605,Heartland Library Cooperative  Sebring ,,,12/01/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop",319 W. Center Ave,Sebring,FL,33870,-81.44376485,27.49488483,,,,,,,
1606,Lazarus Project House 3 ,,,11/12/2025,"Computer Basics Windows 10, Email Basics, Video Conferencing",7812 Ball Camp Rd,Knoxville,TN,37931,-84.08119547,35.96705678,,,,,,,
1607,Lone Star College  Atascocita Center ,,,"01/15/2026, 01/16/2026","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing",15903 W Lake Houston Pkwy,Houston,TX,77044,-95.17016311,29.95880922,,,,,,,
1608,Lone Star College  East Aldine Center ,,,"01/13/2026, 01/14/2026","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing",2430 Aldine Mail Route Rd,Houston,TX,77039,-95.34260819,29.90173143,,,,,,,
1609,Lone Star College  Kingwood ,,,"01/29/2026, 01/30/2026","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing",20000 Kingwood Drive,Kingwood,TX,77339,-95.26055691,30.0526217,,,,,,,
1610,Madison County Senior Center ,,,11/07/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",1265 Highway 98 West,Danielsville,GA,30633,-83.23432084,34.14144936,,,,,,,
1611,McKee Senior Center ,,,11/12/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",1035 McCammon Ridge Road ,McKee,KY,40447,-83.97460139,37.42395808,,,,,,,
1612,McMinn Senior Activity Center ,,,11/18/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",205 Mcminn Ave,Athens,TN,37303,-84.60054951,35.43735022,,,,,,,
1613,Menifee County Senior Center ,,,11/17/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",68 Old Campus Road,Frenchburg,KY,40322,-83.6289897,37.95202464,,,,,,,
1614,Midland Senior Citizen Center ,,,11/12/2025,"Computer Basics Windows 10, Internet Basics",3303 W Illinois Ave Suite 18,Midland,TX,79703,-102.1185655,31.99103919,,,,,,,
1615,Montgomery County Senior Center ,,,12/01/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",302 W. Main Street,Mount Sterling,KY,40353,-83.94790419,38.05458699,,,,,,,
1616,Morgan County Senior Center ,,,11/20/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",991 S Main Street,Madison,GA,30650,-83.47875498,33.58520962,,,,,,,
1617,Morgan County Senior Citizens ,,,12/11/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",493B Riverside Drive,West Liberty,KY,41472,-83.26151692,37.92030442,,,,,,,
1618,Mt Carmel Senior Center ,,,11/10/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",100 Main Street East,Mount Carmel,TN,37645,-82.65466965,36.54586462,,,,,,,
1619,Oglethorpe County Senior Center  ,,,11/19/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",19 Oglethorpe Dr,Crawford,GA,30630,-83.12879988,33.88567411,,,,,,,
1620,Pleasant Grove Missionary Baptist Church ,,,"12/12/2025, 12/13/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing",2525 Old Lower River Rd,Douglasville,GA,30135,-84.65822815,33.70628604,,,,,,,
1621,Rainbow Housing  Cedar Ridge,,,01/07/2026,TBD,30819 124th Ave SE,Auburn,WA,98092,-122.1764275,47.3257738,,,,,,,
1622,Rainbow Housing  Crestview West,,,01/08/2026,TBD,279 Pacific Hwy South,Federal Way,WA,98003,-122.3183552,47.28869098,,,,,,,
1623,Rainbow Housing  Evergreen,,,01/09/2026,TBD,505 Division Street,Olympia,WA,98502,-122.9287311,47.05001857,,,,,,,
1624,Rainbow Housing  Park Place,,,01/06/2026,TBD,1406 Maple Lane,Kent,WA,98031,-122.227233,47.36675892,,,,,,,
1625,Rainbow Housing  Quintessa,,,01/05/2026,TBD,201 Yesler Way,Seattle,WA,98104,-122.3311703,47.60168451,,,,,,,
1626,Schulenburg Public Library ,,,"01/20/2026, 01/21/2026, 01/22/2026","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Video Conferencing",100 Ranger Dr ,Schulenburg,TX,78956,-96.89932962,29.67534729,,,,,,,
1627,Summit County Community Senior Center ,,,"12/16/2025, 12/17/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop",0083 Nancy's Place,Frisco,CO,80443,-106.0842412,39.57252397,,,,,,,
1628,Wayne County Senior Center ,,,11/20/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",75 Columbia Ave.,Monticello,KY,42633,-84.85016711,36.82996127,,,,,,,
