ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1102,Clay County,Government ,2022,,,214 N Main St,Henrietta,TX,76365,-98.19633358,33.81690655,,Community Planning,https://connectednation.org/community-engagements/Clay-County-texas,,,,
1103,Clay County Detention Center / Clay County Jail,Government,"2024, 2025",,,67 Shamrock Lane,Manchester,KY,40962,-83.76452508,37.12869879,125,CN DST Workshops,,,,,
1104,Clay County Public Library,Public Library,2023,,,211 Bridge St.,Manchester,KY,40962,-83.76104432,37.15391763,14,CN DST Workshops,,,,,
1105,Clay County Senior Center,Senior Center,2024,,,144 Old Timer's Road ,Manchester,KY,40962,-83.75842104,37.13466377,10,CN DST Workshops,,,,,
1106,Clay County Senior Citizen Center,Senior Center,"2023, 2025",11/10/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",145 Cordell Hull Dr. ,Celina,TN,38551,-85.5071152,36.55619708,20,CN DST Workshops,,,,,
1107,Clinton County Senior Citizen Center,Senior Center,2025,,,110 N. Spring Street ,Albany,KY,42602,-85.13407713,36.69116427,,CN DST Workshops,,,,,
1108,Coalfield Senior Center,Senior Center,2025,,,1600 Coal Hill Road ,Harriman,TN,37748,-84.42171616,36.02515456,,CN DST Workshops,,,,,
1109,Colleyville Senior Center,Senior Center,2025,,,2512 Glade Road,Colleyville,TX,76034,-97.12733147,32.88185185,,CN DST Workshops,,,,,
1110,Columbia County Library ,Public Library,2023,,,7022 Evans Town Center Blvd,Evans,GA,30809,-82.13097303,33.54676703,12,CN DST Workshops,,,,,
1111,Columbus High School,School,2025,,,1164 Farnham St,Columbus,WI,53925,-89.01944033,43.32696695,39,Teens Teach Teach,,,,,
1112,Comanche County,Government ,2023,,,315 SW 5th Street,Lawton,OK,73501,-98.3952353,34.60462356,,Community Planning,https://connectednation.org/community-engagements/Comanche-County-oklahoma,,,,
1113,Commitment House Men's Center,Rehabilitation Center,2024,,,723 Hawkins Drive ,Elizabethtown,KY,42701,-85.84891983,37.68325133,80,CN DST Workshops,,,,,
1114,Community Action Partnership of Lake County,Non-Profit,2023,,,204 North Genesee (Genesee Business Center),Waukegan,IL,60085,-87.83134629,42.36270631,17,CN DST Workshops,,,,,
1115,Community First Village,Non-Profit,"2023, 2024",,,9301 Hog Eye Rd Suite 950,Austin,TX,78724,-97.62281585,30.28240881,16,CN DST Workshops,,,,,
1116,Community Health Recreation & Wellness Center,Community Center,2025,,,3748 N Lincoln Blvd,Oklahoma City,OK,73105,-97.50309688,35.50930676,68,CN DST Workshops,,,,,
1117,Community Literacy Program,Non-Profit,2025,"11/06/2025, 11/17/2025, 12/01/2025, 12/08/2025","Computer Basics Windows 10, Cybersecurity, Email Basics, Internet Basics, Mobile Device Basics (iOS), Open Lab Workshop, Video Conferencing",2701 S. Harvey Ave.,Oklahoma City,OK,73109,-97.51818221,35.43808267,108,CN DST Workshops,,,,,
1118,Connected Burnet County,Government,2023,,,806 Steve Hawkins Pkwy. (Texas Tech University),Marble Falls,TX,78654,-98.2734688,30.55773509,14,CN DST Workshops,,,,,
1119,Cookeville Senior Center,Senior Center,2025,,,186 S Walnut Ave,Cookeville,TN,38501,-85.50672553,36.16009692,36,CN DST Workshops,,,,,
1120,Corbin Public Library,Public Library,"2023, 2024",,,215 Roy Kidd Ave,Corbin,KY,40701,-84.09480324,36.94977785,26,CN DST Workshops,,,,,
1121,Corbin Senior Citizen Center,Senior Center,"2023, 2024",,,409 Barbourville Street Corbin,Corbin,KY,40701,-84.09191584,36.94869901,63,CN DST Workshops,,,,,
1122,Cornerstone Community Action Agency,Non-Profit,2024,,,1500 Dublin St #119,Brownwood,TX,76801,-98.99221524,31.73167696,43,CN DST Workshops,,,,,
